[run] loading refdrone 'val' subset (n=all)...
[run] 439 samples; building jetson backend (/home/jfdg/grounding/phase3-terse100eos-1024-q8_0.gguf) max_side=1024...
[run] evaluating...
  [jetson] 240/439  parsed=240  gate_hits=158
  [jetson] 241/439  parsed=241  gate_hits=159
  [jetson] 242/439  parsed=242  gate_hits=160
  [jetson] 243/439  parsed=243  gate_hits=160
  [jetson] 244/439  parsed=244  gate_hits=161
  [jetson] 245/439  parsed=245  gate_hits=162
  [jetson] 246/439  parsed=246  gate_hits=163
  [jetson] 247/439  parsed=247  gate_hits=164
  [jetson] 248/439  parsed=248  gate_hits=165
  [jetson] 249/439  parsed=249  gate_hits=166
  [jetson] 250/439  parsed=250  gate_hits=167
  [jetson] 251/439  parsed=251  gate_hits=168
  [jetson] 252/439  parsed=252  gate_hits=168
  [jetson] 253/439  parsed=253  gate_hits=168
  [jetson] 254/439  parsed=254  gate_hits=169
  [jetson] 255/439  parsed=255  gate_hits=170
  [jetson] 256/439  parsed=256  gate_hits=170
  [jetson] 257/439  parsed=257  gate_hits=171
  [jetson] 258/439  parsed=258  gate_hits=171
  [jetson] 259/439  parsed=259  gate_hits=171
  [jetson] 260/439  parsed=260  gate_hits=172
  [jetson] 261/439  parsed=261  gate_hits=172
  [jetson] 262/439  parsed=262  gate_hits=173
  [jetson] 263/439  parsed=263  gate_hits=173
  [jetson] 264/439  parsed=264  gate_hits=173
  [jetson] 265/439  parsed=265  gate_hits=174
  [jetson] 266/439  parsed=266  gate_hits=174
  [jetson] 267/439  parsed=267  gate_hits=175
  [jetson] 268/439  parsed=268  gate_hits=176
  [jetson] 269/439  parsed=269  gate_hits=177
  [jetson] 270/439  parsed=270  gate_hits=178
  [jetson] 271/439  parsed=271  gate_hits=178
  [jetson] 272/439  parsed=272  gate_hits=179
  [jetson] 273/439  parsed=273  gate_hits=180
  [jetson] 274/439  parsed=274  gate_hits=181
  [jetson] 275/439  parsed=275  gate_hits=181
  [jetson] 276/439  parsed=276  gate_hits=182
  [jetson] 277/439  parsed=277  gate_hits=183
  [jetson] 278/439  parsed=278  gate_hits=184
  [jetson] 279/439  parsed=279  gate_hits=184
  [jetson] 280/439  parsed=280  gate_hits=184
  [jetson] 281/439  parsed=281  gate_hits=185
  [jetson] 282/439  parsed=282  gate_hits=186
  [jetson] 283/439  parsed=283  gate_hits=186
  [jetson] 284/439  parsed=284  gate_hits=186
  [jetson] 285/439  parsed=285  gate_hits=186
  [jetson] 286/439  parsed=286  gate_hits=186
  [jetson] 287/439  parsed=287  gate_hits=187
  [jetson] 288/439  parsed=288  gate_hits=187
  [jetson] 289/439  parsed=289  gate_hits=188
  [jetson] 290/439  parsed=290  gate_hits=189
  [jetson] 291/439  parsed=291  gate_hits=190
  [jetson] 292/439  parsed=292  gate_hits=191
  [jetson] 293/439  parsed=293  gate_hits=191
  [jetson] 294/439  parsed=294  gate_hits=191
  [jetson] 295/439  parsed=295  gate_hits=192
  [jetson] 296/439  parsed=296  gate_hits=192
  [jetson] 297/439  parsed=297  gate_hits=192
  [jetson] 298/439  parsed=298  gate_hits=192
  [jetson] 299/439  parsed=299  gate_hits=193
  [jetson] 300/439  parsed=300  gate_hits=194
  [jetson] 301/439  parsed=301  gate_hits=194
  [jetson] 302/439  parsed=302  gate_hits=195
  [jetson] 303/439  parsed=303  gate_hits=196
  [jetson] 304/439  parsed=304  gate_hits=197
