[warm] bridge up: ssh+py 0.30s, import 2.77s, weights 1.80s
[clip14 WARM lag4.85 j12] t_handoff=0.5451 steps=103/100 iou=0.0 on_target=0.0 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1159, 'drain': 0.4292}
[clip14 WARM lag4.85 j999] t_handoff=0.3116 steps=101/100 iou=0.0 on_target=0.0 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1165, 'drain': 0.1951}
[clip15 WARM lag4.85 j1] t_handoff=5.3447 steps=149/100 iou=0.6639 on_target=1.0 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.119, 'drain': 5.2257}
[clip15 WARM lag4.85 j12] t_handoff=0.51 steps=103/100 iou=0.7036 on_target=1.0 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1204, 'drain': 0.3895}
[clip15 WARM lag4.85 j999] t_handoff=0.3197 steps=101/100 iou=0.7265 on_target=1.0 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1237, 'drain': 0.1961}
[clip16 WARM lag4.85 j1] t_handoff=5.3468 steps=149/16 iou=0.0 on_target=0.0 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1219, 'drain': 5.2248}
[clip16 WARM lag4.85 j12] t_handoff=0.5469 steps=103/40 iou=0.0 on_target=0.0 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.116, 'drain': 0.4308}
[clip16 WARM lag4.85 j999] t_handoff=0.3243 steps=101/41 iou=0.0 on_target=0.0 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1247, 'drain': 0.1996}
[clip17 WARM lag4.85 j1] t_handoff=5.3413 steps=149/100 iou=0.5963 on_target=1.0 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1185, 'drain': 5.2228}
[clip17 WARM lag4.85 j12] t_handoff=0.5279 steps=102/100 iou=0.0 on_target=0.0 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1216, 'drain': 0.4063}
[clip17 WARM lag4.85 j999] t_handoff=0.3337 steps=101/100 iou=0.0 on_target=0.0 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1391, 'drain': 0.1945}
[clip18 WARM lag4.85 j1] t_handoff=5.1962 steps=148/100 iou=0.4315 on_target=1.0 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1173, 'drain': 5.0789}
[clip18 WARM lag4.85 j12] t_handoff=0.5081 steps=103/100 iou=0.0 on_target=0.0 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1186, 'drain': 0.3895}
[clip18 WARM lag4.85 j999] t_handoff=0.3058 steps=101/100 iou=0.0 on_target=0.0 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1149, 'drain': 0.1909}
[clip19 WARM lag4.85 j1] t_handoff=5.1852 steps=148/100 iou=0.0 on_target=0.0 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1159, 'drain': 5.0693}
[clip19 WARM lag4.85 j12] t_handoff=0.5124 steps=103/100 iou=0.0 on_target=0.0 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1149, 'drain': 0.3975}
[clip19 WARM lag4.85 j999] t_handoff=0.3138 steps=101/100 iou=0.0 on_target=0.0 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1166, 'drain': 0.1971}
[clip20 WARM lag4.85 j1] t_handoff=5.1942 steps=148/100 iou=0.673 on_target=1.0 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1214, 'drain': 5.0728}
[clip20 WARM lag4.85 j12] t_handoff=0.5197 steps=103/100 iou=0.633 on_target=1.0 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1191, 'drain': 0.4006}
[clip20 WARM lag4.85 j999] t_handoff=0.3214 steps=101/100 iou=0.0 on_target=0.01 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1305, 'drain': 0.191}
[clip21 WARM lag4.85 j1] t_handoff=5.346 steps=149/100 iou=0.7829 on_target=1.0 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1306, 'drain': 5.2154}
[clip21 WARM lag4.85 j12] t_handoff=0.5413 steps=103/100 iou=0.7883 on_target=1.0 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1518, 'drain': 0.3895}
[clip21 WARM lag4.85 j999] t_handoff=0.3172 steps=101/100 iou=0.7794 on_target=0.96 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1192, 'drain': 0.198}
[clip22 WARM lag4.85 j1] t_handoff=5.3166 steps=149/100 iou=0.0 on_target=0.0 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1251, 'drain': 5.1916}
[clip22 WARM lag4.85 j12] t_handoff=0.5193 steps=103/100 iou=0.0 on_target=0.0 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1214, 'drain': 0.3979}
[clip22 WARM lag4.85 j999] t_handoff=0.3077 steps=101/100 iou=0.0 on_target=0.0 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.116, 'drain': 0.1917}
[clip23 WARM lag4.85 j1] t_handoff=5.3116 steps=149/100 iou=0.7317 on_target=1.0 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.123, 'drain': 5.1886}
[clip23 WARM lag4.85 j12] t_handoff=0.5124 steps=103/100 iou=0.1411 on_target=0.42 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.12, 'drain': 0.3924}
[clip23 WARM lag4.85 j999] t_handoff=0.3165 steps=101/100 iou=0.1366 on_target=0.41 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1162, 'drain': 0.2003}
[clip24 WARM lag4.85 j1] t_handoff=5.3215 steps=149/100 iou=0.7561 on_target=1.0 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1183, 'drain': 5.2032}
[clip24 WARM lag4.85 j12] t_handoff=0.5292 steps=103/100 iou=0.7755 on_target=1.0 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1381, 'drain': 0.3911}
[clip24 WARM lag4.85 j999] t_handoff=0.3144 steps=101/100 iou=0.0 on_target=0.0 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1224, 'drain': 0.192}
wrote runs/p67/jump/results.json (75 cells)
