[clip24 COLD lag0 j12] t_handoff=5.9541 steps=102/100 iou=0.7774 on_target=1.0 stages={'ssh_spawn': 0.2902, 'import': 2.8459, 'weights': 1.8, 'warmup_init': 0.665, 'drain': 0.3528}
[clip24 COLD lag4.85 j12] t_handoff=6.9156 steps=105/100 iou=0.7762 on_target=1.0 stages={'ssh_spawn': 0.3303, 'import': 3.1507, 'weights': 1.9, 'warmup_init': 0.8607, 'drain': 0.6738}
[warm] bridge up: ssh+py 0.31s, import 3.16s, weights 1.90s
[clip00 WARM lag0 j12] t_handoff=0.2994 steps=100/100 iou=0.8921 on_target=1.0 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1176, 'drain': 0.1818}
[clip00 WARM lag4.85 j12] t_handoff=0.5662 steps=103/100 iou=0.8811 on_target=1.0 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1732, 'drain': 0.3929}
[clip01 WARM lag0 j12] t_handoff=0.3013 steps=100/28 iou=0.6997 on_target=0.9643 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1633, 'drain': 0.138}
[clip01 WARM lag4.85 j12] t_handoff=0.5311 steps=103/3 iou=0.247 on_target=0.3333 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1391, 'drain': 0.392}
[clip02 WARM lag0 j12] t_handoff=0.3005 steps=100/100 iou=0.7848 on_target=1.0 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1394, 'drain': 0.1611}
[clip02 WARM lag4.85 j12] t_handoff=0.53 steps=103/100 iou=0.0 on_target=0.0 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1394, 'drain': 0.3906}
[clip03 WARM lag0 j12] t_handoff=0.3009 steps=100/100 iou=0.0 on_target=0.04 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1415, 'drain': 0.1594}
[clip03 WARM lag4.85 j12] t_handoff=0.5465 steps=103/100 iou=0.0 on_target=0.0 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1579, 'drain': 0.3886}
[clip04 WARM lag0 j12] t_handoff=0.3027 steps=100/100 iou=0.5499 on_target=0.8 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.121, 'drain': 0.1817}
[clip04 WARM lag4.85 j12] t_handoff=0.505 steps=103/100 iou=0.3803 on_target=0.56 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1175, 'drain': 0.3875}
[clip05 WARM lag0 j12] t_handoff=0.2966 steps=100/100 iou=0.706 on_target=0.68 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1154, 'drain': 0.1812}
[clip05 WARM lag4.85 j12] t_handoff=0.516 steps=103/100 iou=0.6682 on_target=0.66 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.123, 'drain': 0.393}
[clip06 WARM lag0 j12] t_handoff=0.299 steps=100/100 iou=0.7622 on_target=1.0 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.123, 'drain': 0.176}
[clip06 WARM lag4.85 j12] t_handoff=0.5454 steps=103/100 iou=0.0 on_target=0.0 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1465, 'drain': 0.3989}
[clip07 WARM lag0 j12] t_handoff=0.3015 steps=100/100 iou=0.6132 on_target=1.0 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1589, 'drain': 0.1426}
[clip07 WARM lag4.85 j12] t_handoff=0.5343 steps=103/100 iou=0.5712 on_target=1.0 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1405, 'drain': 0.3938}
[clip08 WARM lag0 j12] t_handoff=0.2972 steps=100/100 iou=0.6708 on_target=1.0 stages={'ssh_spawn': 0.0, 'import': 0.0, 'weights': 0.0, 'warmup_init': 0.1158, 'drain': 0.1815}
