06-14-2026 12:53:36 RAM 3127/7607MB (lfb 3x4MB) SWAP 219/3804MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,0%@1510] GR3D_FREQ 99% cpu@60.781C soc2@59.562C soc0@57.375C gpu@61.781C tj@61.781C soc1@59.125C VDD_IN 12359mW/10110mW VDD_CPU_GPU_CV 4959mW/3837mW VDD_SOC 2527mW/2111mW
06-14-2026 12:53:37 RAM 3127/7607MB (lfb 3x4MB) SWAP 219/3804MB (cached 0MB) CPU [0%@1510,1%@1510,0%@1510,0%@1510,0%@1510,0%@1510] GR3D_FREQ 99% cpu@60.75C soc2@59.656C soc0@57.468C gpu@61.812C tj@61.812C soc1@58.937C VDD_IN 12438mW/10185mW VDD_CPU_GPU_CV 4998mW/3874mW VDD_SOC 2527mW/2124mW
06-14-2026 12:53:38 RAM 3127/7607MB (lfb 3x4MB) SWAP 219/3804MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,0%@1510] GR3D_FREQ 99% cpu@60.812C soc2@59.593C soc0@57.343C gpu@61.843C tj@61.843C soc1@59.062C VDD_IN 12478mW/10257mW VDD_CPU_GPU_CV 4998mW/3910mW VDD_SOC 2527mW/2137mW
06-14-2026 12:53:39 RAM 3127/7607MB (lfb 3x4MB) SWAP 219/3804MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,0%@1510] GR3D_FREQ 99% cpu@60.812C soc2@59.625C soc0@57.406C gpu@61.875C tj@61.875C soc1@59.156C VDD_IN 12478mW/10324mW VDD_CPU_GPU_CV 4998mW/3943mW VDD_SOC 2527mW/2149mW
06-14-2026 12:53:40 RAM 3127/7607MB (lfb 3x4MB) SWAP 219/3804MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,0%@1510] GR3D_FREQ 99% cpu@60.968C soc2@59.687C soc0@57.468C gpu@62C tj@62C soc1@59.156C VDD_IN 12478mW/10387mW VDD_CPU_GPU_CV 4998mW/3974mW VDD_SOC 2527mW/2160mW
06-14-2026 12:53:41 RAM 3128/7607MB (lfb 3x4MB) SWAP 219/3804MB (cached 0MB) CPU [0%@1510,0%@1510,1%@1510,0%@1510,0%@1510,0%@1510] GR3D_FREQ 99% cpu@61.093C soc2@59.843C soc0@57.593C gpu@62C tj@62C soc1@59.218C VDD_IN 12438mW/10446mW VDD_CPU_GPU_CV 4998mW/4003mW VDD_SOC 2527mW/2170mW
06-14-2026 12:53:42 RAM 3128/7607MB (lfb 3x4MB) SWAP 219/3804MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,0%@1510] GR3D_FREQ 99% cpu@61.062C soc2@59.875C soc0@57.625C gpu@62.062C tj@62.062C soc1@59.375C VDD_IN 12438mW/10501mW VDD_CPU_GPU_CV 4998mW/4031mW VDD_SOC 2527mW/2180mW
06-14-2026 12:53:43 RAM 3128/7607MB (lfb 3x4MB) SWAP 219/3804MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,0%@1510] GR3D_FREQ 99% cpu@61.25C soc2@59.937C soc0@57.687C gpu@62.031C tj@62.031C soc1@59.312C VDD_IN 12438mW/10554mW VDD_CPU_GPU_CV 4998mW/4057mW VDD_SOC 2527mW/2190mW
06-14-2026 12:53:44 RAM 3128/7607MB (lfb 3x4MB) SWAP 219/3804MB (cached 0MB) CPU [0%@1510,0%@1510,1%@1510,0%@1510,0%@1510,0%@1510] GR3D_FREQ 99% cpu@61.093C soc2@60.031C soc0@57.531C gpu@62.187C tj@62.187C soc1@59.406C VDD_IN 12438mW/10603mW VDD_CPU_GPU_CV 4998mW/4081mW VDD_SOC 2527mW/2198mW
06-14-2026 12:53:45 RAM 3128/7607MB (lfb 3x4MB) SWAP 219/3804MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,0%@1510] GR3D_FREQ 99% cpu@61.156C soc2@59.937C soc0@57.718C gpu@62.218C tj@62.218C soc1@59.437C VDD_IN 12438mW/10650mW VDD_CPU_GPU_CV 4959mW/4104mW VDD_SOC 2527mW/2207mW
06-14-2026 12:53:46 RAM 3128/7607MB (lfb 3x4MB) SWAP 219/3804MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,0%@1510] GR3D_FREQ 99% cpu@61.187C soc2@60.031C soc0@57.781C gpu@62.25C tj@62.25C soc1@59.437C VDD_IN 12438mW/10695mW VDD_CPU_GPU_CV 4998mW/4126mW VDD_SOC 2527mW/2215mW
06-14-2026 12:53:47 RAM 3128/7607MB (lfb 3x4MB) SWAP 219/3804MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,0%@1510] GR3D_FREQ 99% cpu@61.218C soc2@60.031C soc0@57.843C gpu@62.375C tj@62.375C soc1@59.593C VDD_IN 12399mW/10737mW VDD_CPU_GPU_CV 4959mW/4147mW VDD_SOC 2527mW/2222mW
06-14-2026 12:53:48 RAM 3128/7607MB (lfb 3x4MB) SWAP 219/3804MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,0%@1510] GR3D_FREQ 99% cpu@61.375C soc2@60.187C soc0@57.937C gpu@62.375C tj@62.375C soc1@59.656C VDD_IN 12478mW/10778mW VDD_CPU_GPU_CV 4998mW/4167mW VDD_SOC 2527mW/2230mW
06-14-2026 12:53:49 RAM 3128/7607MB (lfb 3x4MB) SWAP 219/3804MB (cached 0MB) CPU [0%@1510,0%@1510,1%@1510,0%@1510,0%@1510,0%@1510] GR3D_FREQ 99% cpu@61.218C soc2@60.218C soc0@58C gpu@62.375C tj@62.375C soc1@59.562C VDD_IN 12438mW/10817mW VDD_CPU_GPU_CV 4998mW/4186mW VDD_SOC 2527mW/2237mW
