07-02-2026 09:40:58 RAM 3700/7607MB (lfb 4x2MB) SWAP 256/3804MB (cached 1MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,25%@1510,0%@1510] GR3D_FREQ 99% cpu@59.25C soc2@58C soc0@55.937C gpu@60.062C tj@60.062C soc1@57.843C VDD_IN 12023mW/8037mW VDD_CPU_GPU_CV 4880mW/2595mW VDD_SOC 2408mW/1786mW
07-02-2026 09:40:59 RAM 3702/7607MB (lfb 4x2MB) SWAP 256/3804MB (cached 1MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,24%@1510,0%@1510] GR3D_FREQ 99% cpu@59.5C soc2@58.062C soc0@56.031C gpu@60.281C tj@60.437C soc1@58C VDD_IN 11865mW/8184mW VDD_CPU_GPU_CV 4849mW/2682mW VDD_SOC 2369mW/1808mW
07-02-2026 09:41:00 RAM 3704/7607MB (lfb 4x2MB) SWAP 256/3804MB (cached 1MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,19%@1510] GR3D_FREQ 98% cpu@59.531C soc2@58.25C soc0@56.031C gpu@60.625C tj@60.625C soc1@57.937C VDD_IN 11984mW/8325mW VDD_CPU_GPU_CV 5038mW/2769mW VDD_SOC 2329mW/1828mW
07-02-2026 09:41:01 RAM 3706/7607MB (lfb 4x2MB) SWAP 256/3804MB (cached 1MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,24%@1510] GR3D_FREQ 99% cpu@59.718C soc2@58.375C soc0@56.125C gpu@60.875C tj@60.875C soc1@58.062C VDD_IN 12023mW/8457mW VDD_CPU_GPU_CV 4920mW/2846mW VDD_SOC 2408mW/1848mW
07-02-2026 09:41:02 RAM 3708/7607MB (lfb 4x2MB) SWAP 256/3804MB (cached 1MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,28%@1510] GR3D_FREQ 99% cpu@59.906C soc2@58.437C soc0@56.343C gpu@60.968C tj@60.968C soc1@58.25C VDD_IN 11944mW/8577mW VDD_CPU_GPU_CV 4920mW/2918mW VDD_SOC 2369mW/1866mW
07-02-2026 09:41:03 RAM 3710/7607MB (lfb 4x2MB) SWAP 256/3804MB (cached 1MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,17%@1510] GR3D_FREQ 98% cpu@59.906C soc2@58.531C soc0@56.5C gpu@60.937C tj@60.937C soc1@58.218C VDD_IN 11905mW/8688mW VDD_CPU_GPU_CV 4967mW/2986mW VDD_SOC 2329mW/1882mW
07-02-2026 09:41:04 RAM 3712/7607MB (lfb 4x2MB) SWAP 256/3804MB (cached 1MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,25%@1510] GR3D_FREQ 99% cpu@59.968C soc2@58.625C soc0@56.593C gpu@61.187C tj@61.187C soc1@58.468C VDD_IN 12043mW/8796mW VDD_CPU_GPU_CV 4998mW/3051mW VDD_SOC 2369mW/1897mW
07-02-2026 09:41:05 RAM 3714/7607MB (lfb 4x2MB) SWAP 256/3804MB (cached 1MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,23%@1510] GR3D_FREQ 99% cpu@60C soc2@58.75C soc0@56.625C gpu@61.343C tj@61.343C soc1@58.437C VDD_IN 12004mW/8897mW VDD_CPU_GPU_CV 4998mW/3112mW VDD_SOC 2369mW/1912mW
07-02-2026 09:41:06 RAM 3718/7607MB (lfb 4x2MB) SWAP 256/3804MB (cached 1MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,25%@1510] GR3D_FREQ 99% cpu@60.25C soc2@58.843C soc0@56.656C gpu@61.312C tj@61.312C soc1@58.593C VDD_IN 11905mW/8988mW VDD_CPU_GPU_CV 4920mW/3167mW VDD_SOC 2369mW/1926mW
07-02-2026 09:41:07 RAM 3718/7607MB (lfb 4x2MB) SWAP 256/3804MB (cached 1MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,8%@1510,10%@1510] GR3D_FREQ 99% cpu@60.375C soc2@58.968C soc0@56.875C gpu@61.25C tj@61.25C soc1@58.75C VDD_IN 12043mW/9078mW VDD_CPU_GPU_CV 5038mW/3222mW VDD_SOC 2369mW/1939mW
