07-02-2026 09:43:49 RAM 6907/7607MB (lfb 5x4MB) SWAP 716/3804MB (cached 1MB) CPU [0%@1510,0%@1510,2%@1510,0%@1510,0%@1510,20%@1510] GR3D_FREQ 99% cpu@61.093C soc2@59.906C soc0@57.812C gpu@62.031C tj@62.031C soc1@59.781C VDD_IN 12083mW/9408mW VDD_CPU_GPU_CV 5038mW/3416mW VDD_SOC 2369mW/1987mW
07-02-2026 09:43:50 RAM 6908/7607MB (lfb 5x4MB) SWAP 716/3804MB (cached 1MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,28%@1510] GR3D_FREQ 99% cpu@61.187C soc2@60C soc0@57.75C gpu@62.156C tj@62.156C soc1@59.656C VDD_IN 12083mW/9507mW VDD_CPU_GPU_CV 4998mW/3475mW VDD_SOC 2369mW/2001mW
07-02-2026 09:43:51 RAM 6910/7607MB (lfb 5x4MB) SWAP 716/3804MB (cached 1MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,22%@1510] GR3D_FREQ 99% cpu@61.468C soc2@60.156C soc0@57.843C gpu@62.062C tj@62.062C soc1@59.656C VDD_IN 11925mW/9594mW VDD_CPU_GPU_CV 4920mW/3526mW VDD_SOC 2369mW/2014mW
07-02-2026 09:43:52 RAM 6917/7607MB (lfb 5x4MB) SWAP 716/3804MB (cached 1MB) CPU [1%@1510,0%@1510,0%@1510,0%@1510,0%@1510,21%@1510] GR3D_FREQ 99% cpu@61.5C soc2@60.218C soc0@57.968C gpu@62.375C tj@62.375C soc1@59.843C VDD_IN 12122mW/9681mW VDD_CPU_GPU_CV 5116mW/3581mW VDD_SOC 2369mW/2026mW
07-02-2026 09:43:53 RAM 6919/7607MB (lfb 5x4MB) SWAP 716/3804MB (cached 1MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,18%@1510,7%@1510] GR3D_FREQ 99% cpu@61.406C soc2@60.406C soc0@58.062C gpu@62.218C tj@62.218C soc1@59.906C VDD_IN 12043mW/9760mW VDD_CPU_GPU_CV 4880mW/3624mW VDD_SOC 2408mW/2039mW
07-02-2026 09:43:54 RAM 6921/7607MB (lfb 4x4MB) SWAP 716/3804MB (cached 1MB) CPU [0%@1510,0%@1510,0%@1510,1%@1510,0%@1510,26%@1510] GR3D_FREQ 99% cpu@61.593C soc2@60.468C soc0@58.218C gpu@62.437C tj@62.437C soc1@60.031C VDD_IN 11905mW/9829mW VDD_CPU_GPU_CV 4880mW/3665mW VDD_SOC 2369mW/2050mW
07-02-2026 09:43:55 RAM 6923/7607MB (lfb 4x4MB) SWAP 716/3804MB (cached 1MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,18%@1510] GR3D_FREQ 99% cpu@61.593C soc2@60.437C soc0@58.25C gpu@62.593C tj@62.593C soc1@60.031C VDD_IN 12043mW/9898mW VDD_CPU_GPU_CV 5077mW/3709mW VDD_SOC 2369mW/2060mW
07-02-2026 09:43:56 RAM 6925/7607MB (lfb 3x4MB) SWAP 716/3804MB (cached 1MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,24%@1510] GR3D_FREQ 99% cpu@61.718C soc2@60.5C soc0@58.25C gpu@62.687C tj@62.687C soc1@60.156C VDD_IN 12083mW/9964mW VDD_CPU_GPU_CV 4959mW/3747mW VDD_SOC 2408mW/2070mW
07-02-2026 09:43:57 RAM 6927/7607MB (lfb 3x4MB) SWAP 716/3804MB (cached 1MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,28%@1510] GR3D_FREQ 99% cpu@62.031C soc2@60.656C soc0@58.312C gpu@62.75C tj@62.75C soc1@60.156C VDD_IN 11964mW/10023mW VDD_CPU_GPU_CV 4920mW/3781mW VDD_SOC 2369mW/2079mW
07-02-2026 09:43:58 RAM 6929/7607MB (lfb 2x4MB) SWAP 716/3804MB (cached 1MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,16%@1510] GR3D_FREQ 86% cpu@61.906C soc2@60.781C soc0@58.531C gpu@62.812C tj@62.812C soc1@60.375C VDD_IN 11964mW/10079mW VDD_CPU_GPU_CV 4998mW/3816mW VDD_SOC 2369mW/2087mW
