t_s,copter_n,copter_e,copter_d,rover_n,rover_e,rover_d,bbox_cx,bbox_cy,bbox_w,bbox_h,track_id,pixel_err_px,vx_cmd,vy_cmd,yaw_rate_cmd,loop_dt_ms
3.855,0.00,0.00,-10.00,10.71,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
3.905,0.00,0.00,-10.00,10.81,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
3.955,0.00,0.00,-10.00,10.91,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
4.006,0.00,0.00,-10.00,11.01,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
4.056,0.00,0.00,-10.00,11.11,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
4.106,0.00,0.00,-10.00,11.21,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
4.156,0.00,0.00,-10.00,11.31,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
4.206,0.00,0.00,-10.00,11.41,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
4.256,0.00,0.00,-10.00,11.51,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
4.306,0.00,0.00,-10.00,11.61,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
4.356,0.00,0.00,-10.00,11.71,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
4.406,0.00,0.00,-10.00,11.81,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
4.456,0.00,0.00,-10.00,11.91,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
4.506,0.00,0.00,-10.00,12.01,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
4.556,0.00,0.00,-10.00,12.11,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
4.606,0.00,0.00,-10.00,12.21,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
4.656,0.00,0.00,-10.00,12.31,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
4.707,0.00,0.00,-10.00,12.41,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
4.757,0.00,0.00,-10.00,12.51,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
4.807,0.00,0.00,-10.00,12.61,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
4.857,0.00,0.00,-10.00,12.71,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
4.907,0.00,0.00,-10.00,12.81,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
4.957,0.00,0.00,-10.00,12.91,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
5.007,0.00,0.00,-10.00,13.01,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
5.057,0.00,0.00,-10.00,13.11,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
5.107,0.00,0.00,-10.00,13.21,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
5.157,0.00,0.00,-10.00,13.31,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
5.207,0.00,0.00,-10.00,13.41,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
5.257,0.00,0.00,-10.00,13.51,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
5.307,0.00,0.00,-10.00,13.61,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
5.357,0.00,0.00,-10.00,13.71,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
5.407,0.00,0.00,-10.00,13.81,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
5.458,0.00,0.00,-10.00,13.92,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
5.508,0.00,0.00,-10.00,14.02,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
5.558,0.00,0.00,-10.00,14.12,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
5.608,0.00,0.00,-10.00,14.22,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
5.658,0.00,0.00,-10.00,14.32,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
5.708,0.00,0.00,-10.00,14.42,0.00,0.00,,,,,,,0.000,0.000,0.0000,50.1
