06-13-2026 14:17:17 RAM 3312/7607MB (lfb 31x4MB) SWAP 11/3804MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,1%@1510,0%@1510,0%@1510] GR3D_FREQ 98% cpu@62.187C soc2@61.281C soc0@58.906C gpu@63.593C tj@63.593C soc1@60.468C VDD_IN 12517mW/11331mW VDD_CPU_GPU_CV 4959mW/4294mW VDD_SOC 2562mW/2379mW
06-13-2026 14:17:18 RAM 3312/7607MB (lfb 31x4MB) SWAP 11/3804MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,0%@1510] GR3D_FREQ 99% cpu@62.343C soc2@61.281C soc0@58.812C gpu@63.375C tj@63.375C soc1@60.468C VDD_IN 12517mW/11375mW VDD_CPU_GPU_CV 4959mW/4318mW VDD_SOC 2562mW/2385mW
06-13-2026 14:17:18 RAM 3312/7607MB (lfb 31x4MB) SWAP 11/3804MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,0%@1510] GR3D_FREQ 99% cpu@62.343C soc2@61.312C soc0@59.031C gpu@63.468C tj@63.656C soc1@60.718C VDD_IN 12517mW/11415mW VDD_CPU_GPU_CV 4951mW/4341mW VDD_SOC 2562mW/2392mW
06-13-2026 14:17:19 RAM 3312/7607MB (lfb 31x4MB) SWAP 11/3804MB (cached 0MB) CPU [0%@1510,0%@1510,1%@1510,1%@1510,0%@1510,0%@1510] GR3D_FREQ 99% cpu@62.406C soc2@61.343C soc0@58.968C gpu@63.468C tj@63.468C soc1@60.625C VDD_IN 12517mW/11453mW VDD_CPU_GPU_CV 4959mW/4362mW VDD_SOC 2562mW/2398mW
06-13-2026 14:17:19 RAM 3312/7607MB (lfb 31x4MB) SWAP 11/3804MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,0%@1510] GR3D_FREQ 99% cpu@62.375C soc2@61.375C soc0@58.937C gpu@63.468C tj@63.468C soc1@60.687C VDD_IN 12517mW/11489mW VDD_CPU_GPU_CV 4959mW/4382mW VDD_SOC 2562mW/2403mW
06-13-2026 14:17:20 RAM 3312/7607MB (lfb 31x4MB) SWAP 11/3804MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,0%@1510] GR3D_FREQ 98% cpu@62.312C soc2@61.343C soc0@59.031C gpu@63.375C tj@63.375C soc1@60.593C VDD_IN 12517mW/11522mW VDD_CPU_GPU_CV 4951mW/4401mW VDD_SOC 2562mW/2408mW
06-13-2026 14:17:20 RAM 3312/7607MB (lfb 31x4MB) SWAP 11/3804MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,1%@1510,0%@1510,0%@1510] GR3D_FREQ 99% cpu@62.406C soc2@61.437C soc0@59.187C gpu@63.687C tj@63.687C soc1@60.562C VDD_IN 12517mW/11553mW VDD_CPU_GPU_CV 4951mW/4418mW VDD_SOC 2562mW/2413mW
06-13-2026 14:17:21 RAM 3312/7607MB (lfb 31x4MB) SWAP 11/3804MB (cached 0MB) CPU [0%@1510,1%@1510,0%@1510,0%@1510,0%@1510,0%@1510] GR3D_FREQ 99% cpu@62.5C soc2@61.437C soc0@59.093C gpu@63.687C tj@63.687C soc1@60.812C VDD_IN 12517mW/11582mW VDD_CPU_GPU_CV 4951mW/4434mW VDD_SOC 2562mW/2418mW
06-13-2026 14:17:21 RAM 3312/7607MB (lfb 31x4MB) SWAP 11/3804MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,1%@1510,0%@1510,0%@1510] GR3D_FREQ 99% cpu@62.531C soc2@61.406C soc0@59.125C gpu@63.531C tj@63.531C soc1@60.656C VDD_IN 12517mW/11610mW VDD_CPU_GPU_CV 4959mW/4449mW VDD_SOC 2562mW/2422mW
06-13-2026 14:17:22 RAM 3312/7607MB (lfb 31x4MB) SWAP 11/3804MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,0%@1510] GR3D_FREQ 99% cpu@62.437C soc2@61.5C soc0@59.156C gpu@63.562C tj@63.562C soc1@60.656C VDD_IN 12517mW/11636mW VDD_CPU_GPU_CV 4959mW/4464mW VDD_SOC 2562mW/2426mW
06-13-2026 14:17:22 RAM 3312/7607MB (lfb 31x4MB) SWAP 11/3804MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,0%@1510] GR3D_FREQ 99% cpu@62.531C soc2@61.562C soc0@59.281C gpu@63.593C tj@63.593C soc1@60.687C VDD_IN 12517mW/11660mW VDD_CPU_GPU_CV 4951mW/4477mW VDD_SOC 2562mW/2430mW
06-13-2026 14:17:23 RAM 3312/7607MB (lfb 31x4MB) SWAP 11/3804MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,0%@1510] GR3D_FREQ 99% cpu@62.75C soc2@61.562C soc0@59.218C gpu@63.593C tj@63.593C soc1@60.875C VDD_IN 12517mW/11683mW VDD_CPU_GPU_CV 4959mW/4491mW VDD_SOC 2562mW/2433mW
06-13-2026 14:17:23 RAM 3312/7607MB (lfb 31x4MB) SWAP 11/3804MB (cached 0MB) CPU [0%@1510,1%@1510,0%@1510,0%@1510,0%@1510,0%@1510] GR3D_FREQ 99% cpu@62.593C soc2@61.531C soc0@59.187C gpu@63.937C tj@63.937C soc1@60.812C VDD_IN 12517mW/11705mW VDD_CPU_GPU_CV 4951mW/4503mW VDD_SOC 2601mW/2438mW
06-13-2026 14:17:24 RAM 3312/7607MB (lfb 31x4MB) SWAP 11/3804MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,0%@1510] GR3D_FREQ 98% cpu@62.656C soc2@61.562C soc0@59.25C gpu@63.843C tj@63.843C soc1@60.843C VDD_IN 12517mW/11726mW VDD_CPU_GPU_CV 4951mW/4514mW VDD_SOC 2601mW/2442mW
06-13-2026 14:17:24 RAM 3314/7607MB (lfb 31x4MB) SWAP 11/3804MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,2%@1510,0%@1510,0%@1510] GR3D_FREQ 99% cpu@62.593C soc2@61.593C soc0@59.406C gpu@63.75C tj@63.75C soc1@60.843C VDD_IN 12438mW/11744mW VDD_CPU_GPU_CV 4920mW/4524mW VDD_SOC 2562mW/2445mW
06-13-2026 14:17:25 RAM 3314/7607MB (lfb 31x4MB) SWAP 11/3804MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,0%@1510] GR3D_FREQ 99% cpu@62.875C soc2@61.625C soc0@59.375C gpu@63.687C tj@63.687C soc1@61C VDD_IN 12478mW/11762mW VDD_CPU_GPU_CV 4920mW/4534mW VDD_SOC 2562mW/2448mW
06-13-2026 14:17:25 RAM 3314/7607MB (lfb 31x4MB) SWAP 11/3804MB (cached 0MB) CPU [1%@1510,0%@1510,0%@1510,0%@1510,0%@1510,0%@1510] GR3D_FREQ 98% cpu@62.781C soc2@61.656C soc0@59.281C gpu@63.781C tj@63.781C soc1@60.937C VDD_IN 12517mW/11780mW VDD_CPU_GPU_CV 4951mW/4544mW VDD_SOC 2601mW/2451mW
06-13-2026 14:17:26 RAM 3314/7607MB (lfb 31x4MB) SWAP 11/3804MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,0%@1510] GR3D_FREQ 99% cpu@62.75C soc2@61.656C soc0@59.312C gpu@63.781C tj@63.781C soc1@60.906C VDD_IN 12517mW/11797mW VDD_CPU_GPU_CV 4959mW/4554mW VDD_SOC 2601mW/2455mW
06-13-2026 14:17:26 RAM 3314/7607MB (lfb 31x4MB) SWAP 11/3804MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,1%@1510] GR3D_FREQ 99% cpu@62.843C soc2@61.781C soc0@59.375C gpu@64C tj@64C soc1@60.906C VDD_IN 12517mW/11813mW VDD_CPU_GPU_CV 4959mW/4563mW VDD_SOC 2562mW/2457mW
06-13-2026 14:17:27 RAM 3314/7607MB (lfb 31x4MB) SWAP 11/3804MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,0%@1510] GR3D_FREQ 99% cpu@62.687C soc2@61.812C soc0@59.5C gpu@63.937C tj@63.937C soc1@61.093C VDD_IN 12517mW/11829mW VDD_CPU_GPU_CV 4951mW/4571mW VDD_SOC 2601mW/2460mW
06-13-2026 14:17:27 RAM 3314/7607MB (lfb 31x4MB) SWAP 11/3804MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,0%@1510] GR3D_FREQ 98% cpu@62.812C soc2@61.781C soc0@59.437C gpu@63.812C tj@63.812C soc1@61.062C VDD_IN 12517mW/11844mW VDD_CPU_GPU_CV 4951mW/4580mW VDD_SOC 2601mW/2463mW
06-13-2026 14:17:28 RAM 3314/7607MB (lfb 31x4MB) SWAP 11/3804MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,1%@1510,0%@1510,0%@1510] GR3D_FREQ 99% cpu@62.687C soc2@61.75C soc0@59.5C gpu@63.906C tj@63.906C soc1@61C VDD_IN 12517mW/11858mW VDD_CPU_GPU_CV 4959mW/4588mW VDD_SOC 2601mW/2466mW
06-13-2026 14:17:28 RAM 3314/7607MB (lfb 31x4MB) SWAP 11/3804MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,0%@1510] GR3D_FREQ 99% cpu@63.093C soc2@61.875C soc0@59.468C gpu@64.125C tj@63.906C soc1@61.031C VDD_IN 12557mW/11873mW VDD_CPU_GPU_CV 4951mW/4595mW VDD_SOC 2601mW/2469mW
06-13-2026 14:17:29 RAM 3314/7607MB (lfb 31x4MB) SWAP 11/3804MB (cached 0MB) CPU [0%@1510,1%@1510,0%@1510,0%@1510,0%@1510,0%@1510] GR3D_FREQ 99% cpu@62.875C soc2@61.875C soc0@59.531C gpu@63.875C tj@63.875C soc1@61.218C VDD_IN 12517mW/11886mW VDD_CPU_GPU_CV 4959mW/4603mW VDD_SOC 2601mW/2472mW
06-13-2026 14:17:29 RAM 3314/7607MB (lfb 31x4MB) SWAP 11/3804MB (cached 0MB) CPU [1%@1510,0%@1510,0%@1510,0%@1510,0%@1510,0%@1510] GR3D_FREQ 99% cpu@63.031C soc2@61.875C soc0@59.562C gpu@64.156C tj@64.156C soc1@61.156C VDD_IN 12517mW/11899mW VDD_CPU_GPU_CV 4959mW/4610mW VDD_SOC 2601mW/2474mW
06-13-2026 14:17:30 RAM 3314/7607MB (lfb 31x4MB) SWAP 11/3804MB (cached 0MB) CPU [0%@1510,1%@1510,0%@1510,1%@1510,0%@1510,0%@1510] GR3D_FREQ 99% cpu@62.875C soc2@61.937C soc0@59.593C gpu@64.093C tj@64.093C soc1@61.156C VDD_IN 12557mW/11911mW VDD_CPU_GPU_CV 4951mW/4616mW VDD_SOC 2601mW/2477mW
06-13-2026 14:17:30 RAM 3314/7607MB (lfb 31x4MB) SWAP 11/3804MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,3%@1510,0%@1510,0%@1510] GR3D_FREQ 99% cpu@62.968C soc2@62C soc0@59.75C gpu@64C tj@64C soc1@61.156C VDD_IN 12517mW/11923mW VDD_CPU_GPU_CV 4959mW/4623mW VDD_SOC 2601mW/2479mW
06-13-2026 14:17:31 RAM 3314/7607MB (lfb 31x4MB) SWAP 11/3804MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,1%@1510,0%@1510,0%@1510] GR3D_FREQ 99% cpu@63.093C soc2@61.968C soc0@59.656C gpu@64.031C tj@64.031C soc1@61.281C VDD_IN 12517mW/11934mW VDD_CPU_GPU_CV 4912mW/4629mW VDD_SOC 2601mW/2482mW
06-13-2026 14:17:31 RAM 3314/7607MB (lfb 31x4MB) SWAP 11/3804MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,0%@1510] GR3D_FREQ 99% cpu@63.093C soc2@61.875C soc0@59.656C gpu@64.312C tj@64.312C soc1@61.312C VDD_IN 12517mW/11945mW VDD_CPU_GPU_CV 4951mW/4635mW VDD_SOC 2601mW/2484mW
06-13-2026 14:17:32 RAM 3314/7607MB (lfb 31x4MB) SWAP 11/3804MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,1%@1510,0%@1510,0%@1510] GR3D_FREQ 98% cpu@63.093C soc2@61.937C soc0@59.625C gpu@64.093C tj@64.031C soc1@61.25C VDD_IN 12557mW/11956mW VDD_CPU_GPU_CV 4951mW/4640mW VDD_SOC 2601mW/2486mW
