seq,tid,n_frames,n_labeled,mean_iou,iou_at_25,iou_at_50,id_consistency,pred_absent_frac,n_gaps,n_recovered,wall_s,fps
uav0000161_00000_v,0,300,300,0.7272187494911193,1.0,1.0,1.0,0.0,0,0,21.53,13.94
uav0000161_00000_v,211,300,237,0.628022391215181,1.0,0.8734177215189873,1.0,0.0,1,0,21.15,14.18
uav0000182_00000_v,127,300,300,0.7143812893816363,1.0,1.0,1.0,0.0,0,0,22.11,13.57
uav0000182_00000_v,113,266,217,0.784270118886637,1.0,1.0,1.0,0.0,1,1,19.23,13.83
uav0000188_00000_v,3,260,260,0.6524014834061649,1.0,0.9884615384615385,1.0,0.0,0,0,18.88,13.77
uav0000188_00000_v,68,260,140,0.21357792838355458,0.4928571428571429,0.02857142857142857,0.961038961038961,0.32857142857142857,1,0,18.68,13.92
uav0000201_00000_v,1,300,300,0.4614583400385564,0.8866666666666667,0.41,0.9574468085106383,0.043333333333333335,0,0,21.68,13.84
uav0000201_00000_v,73,300,226,0.46128471458848913,0.8495575221238938,0.5707964601769911,1.0,0.0,2,0,21.59,13.89
uav0000218_00001_v,14,220,220,0.6146285383209928,1.0,0.8136363636363636,1.0,0.0,0,0,16.06,13.7
uav0000218_00001_v,13,203,136,0.8156619389126935,0.9852941176470589,0.9632352941176471,1.0,0.0,1,1,14.66,13.84
uav0000222_03150_v,30,300,300,0.6766082564651352,0.9466666666666667,0.9133333333333333,0.9933110367892977,0.0,0,0,22.49,13.34
uav0000222_03150_v,26,300,202,0.7245590591452135,0.9455445544554455,0.8366336633663366,0.9900497512437811,0.0,1,1,22.04,13.61
uav0000239_03720_v,71,300,300,0.855323837893344,1.0,1.0,1.0,0.0,0,0,22.17,13.53
uav0000239_03720_v,75,300,69,0.8119760779568177,1.0,0.9710144927536232,0.9855072463768116,0.0,1,0,21.74,13.8
uav0000239_12336_v,72,300,300,0.805201535312744,1.0,1.0,1.0,0.0,0,0,22.16,13.54
uav0000239_12336_v,87,157,95,0.12436778253480855,0.18947368421052632,0.18947368421052632,0.23376623376623376,0.15789473684210525,1,0,11.47,13.69
uav0000243_00001_v,25,300,300,0.7377160830373726,1.0,0.9466666666666667,1.0,0.0,0,0,22.1,13.58
uav0000243_00001_v,158,300,300,0.7858327605211585,0.9633333333333334,0.96,0.99,0.0,0,0,21.91,13.69
uav0000244_01440_v,125,300,300,0.7398477637808616,1.0,1.0,1.0,0.0,0,0,22.29,13.46
uav0000244_01440_v,100,300,259,0.7194724768684344,1.0,1.0,1.0,0.0,1,0,22.02,13.62
uav0000248_00001_v,2,300,300,0.7800209738238428,1.0,1.0,1.0,0.0,0,0,22.21,13.51
uav0000248_00001_v,91,300,300,0.8336795485751574,1.0,1.0,1.0,0.0,0,0,21.86,13.72
uav0000249_00001_v,145,300,300,0.45567382196938494,0.75,0.67,0.9658119658119658,0.13666666666666666,0,0,21.99,13.64
uav0000249_00001_v,125,300,294,0.20627834015347773,0.35034013605442177,0.14625850340136054,0.5847457627118644,0.1054421768707483,1,0,21.36,14.04
uav0000249_02688_v,13,244,244,0.7499507642876867,0.9959016393442623,0.9672131147540983,1.0,0.0,0,0,17.37,14.04
uav0000249_02688_v,14,210,202,0.6901999341895599,1.0,0.9455445544554455,1.0,0.0,1,1,14.73,14.25
uav0000263_03289_v,37,300,300,0.8518444525431782,0.9933333333333333,0.9933333333333333,1.0,0.0,0,0,21.69,13.83
uav0000263_03289_v,17,300,300,0.7075699975622658,0.9933333333333333,0.92,1.0,0.0,0,0,21.46,13.98
uav0000264_02760_v,4,300,300,0.7152911499193655,1.0,0.9766666666666667,1.0,0.0,0,0,22.16,13.54
uav0000264_02760_v,39,300,292,0.04347844562061327,0.10273972602739725,0.0136986301369863,0.16574585635359115,0.023972602739726026,1,0,21.84,13.73
uav0000266_03598_v,13,300,300,0.7967490854306647,1.0,1.0,1.0,0.0,0,0,22.57,13.29
uav0000266_03598_v,18,300,161,0.056851435741766466,0.08074534161490683,0.049689440993788817,0.2545454545454545,0.21739130434782608,1,0,22.29,13.46
uav0000266_04830_v,0,116,116,0.5542392111383334,0.8103448275862069,0.6637931034482759,1.0,0.06896551724137931,0,0,8.76,13.24
uav0000266_04830_v,3,116,116,0.6580449352337713,1.0,0.9396551724137931,0.896551724137931,0.0,0,0,8.6,13.49
uav0000268_05773_v,8,300,300,0.471099843444834,1.0,0.22,0.6633333333333333,0.0,0,0,22.29,13.46
uav0000268_05773_v,31,300,149,0.00604258397335613,0.013422818791946308,0.0,0.2727272727272727,0.40268456375838924,1,0,22.11,13.57
uav0000270_00001_v,9,300,300,0.6169990240366416,1.0,0.9533333333333334,1.0,0.0,0,0,22.11,13.57
uav0000270_00001_v,35,300,288,0.7563553306106119,0.9826388888888888,0.9756944444444444,0.9965277777777778,0.0,1,1,22.02,13.62
uav0000273_00001_v,35,300,300,0.5302823121211286,0.9066666666666666,0.65,0.5585284280936454,0.0,0,0,21.95,13.67
uav0000273_00001_v,18,300,56,0.7113679537978006,1.0,0.8571428571428571,1.0,0.0,1,0,21.67,13.84
uav0000278_00001_v,203,300,300,0.6307394788684766,1.0,0.9166666666666666,1.0,0.0,0,0,21.88,13.71
uav0000278_00001_v,184,300,280,0.7615667346765955,1.0,1.0,1.0,0.0,1,1,21.79,13.76
uav0000279_00001_v,22,300,300,0.05687432425588688,0.08,0.07,0.08,0.0,0,0,22.14,13.55
uav0000279_00001_v,167,300,242,0.7049959551299105,1.0,0.9380165289256198,1.0,0.0,1,0,21.85,13.73
uav0000281_00460_v,10,300,300,0.7010339116843273,1.0,0.9566666666666667,1.0,0.0,0,0,21.35,14.05
uav0000281_00460_v,76,300,223,0.7759753484883051,1.0,0.9730941704035875,0.9775784753363229,0.0,1,1,21.07,14.24
uav0000288_00001_v,32,300,300,0.7689390118593025,1.0,1.0,1.0,0.0,0,0,21.91,13.69
